aX,aY,aZ,gX,gY,gZ
0.006,0.049,0.993,7.324,16.968,-5.737
0.015,0.054,0.977,3.052,20.264,-6.226
0.028,0.062,0.966,-1.709,23.254,-7.446
0.022,0.061,0.958,-4.272,26.306,-9.338
0.004,0.055,0.922,-3.235,28.809,-10.986
-0.004,0.044,0.914,1.648,27.710,-11.047
-0.005,0.037,0.910,6.165,25.269,-9.338
0.023,0.057,0.928,11.719,23.071,-6.226
0.036,0.066,0.949,15.503,21.729,-3.357
0.010,0.068,0.926,14.343,22.766,-2.014
0.005,0.085,0.874,11.658,24.536,-1.526
0.022,0.133,0.862,11.719,25.269,-1.892
0.039,0.166,0.878,14.221,27.649,-3.723
0.027,0.161,0.854,16.052,34.729,-6.226
0.003,0.150,0.826,20.508,45.105,-7.874
0.048,0.135,0.745,31.677,58.289,-6.042
0.081,0.020,0.604,40.405,70.496,-1.648
0.111,-0.122,0.434,38.940,78.796,8.545
0.118,-0.212,0.079,19.226,84.167,20.813
0.136,-0.115,-0.590,-48.096,77.759,26.489
0.230,-0.092,-0.615,-143.066,45.654,16.663
0.230,-0.119,-0.973,-157.043,22.400,5.798
0.271,-0.103,-1.214,-148.987,-1.343,1.099
0.303,-0.065,-1.280,-135.010,-28.931,3.723
0.366,0.013,-1.311,-133.789,-54.688,8.118
0.433,0.068,-1.201,-143.433,-77.820,5.920
0.446,0.124,-0.967,-157.104,-98.511,-1.709
0.431,0.173,-0.714,-189.697,-115.967,-9.949
0.417,0.236,-0.497,-234.009,-126.587,-15.320
0.363,0.250,-0.293,-260.315,-129.639,-10.498
0.313,0.414,-0.067,-246.765,-131.104,2.869
0.071,0.420,0.110,-234.497,-136.719,-9.277
-0.116,0.490,0.219,-251.282,-136.108,-16.602
-0.251,0.643,0.335,-237.427,-121.277,-10.376
-0.396,0.779,0.568,-177.673,-119.690,-13.184
-0.595,0.931,0.900,-79.590,-126.831,-21.362
-0.812,0.738,1.500,42.175,-127.380,-44.556
-0.903,0.825,1.660,169.861,-75.195,-61.096
-0.999,0.785,1.949,270.813,-62.195,-66.467
-1.080,0.653,2.382,283.691,-106.750,-84.290
-1.172,0.727,2.830,218.628,-137.207,-82.764
-1.052,0.543,3.101,125.732,-127.502,-86.365
-0.973,0.547,3.287,78.003,-111.755,-46.692
-0.862,0.501,3.773,74.951,-154.724,4.395
-0.704,0.577,3.841,60.486,-135.986,57.556
-0.696,0.539,3.800,0.305,-91.858,74.341
-0.771,0.587,3.643,-79.163,-55.664,57.373
-0.731,0.711,3.258,-120.239,-8.179,44.800
-0.738,0.841,2.947,-114.075,23.132,42.053
-0.717,0.913,2.731,-91.797,46.082,38.879
-0.646,0.972,2.402,-92.163,85.266,21.423
-0.558,1.009,2.116,-81.665,113.342,-2.625
-0.469,0.974,1.931,-45.166,124.817,-26.855
-0.317,0.907,1.787,-1.648,133.362,-39.124
-0.185,0.869,1.640,31.799,137.024,-35.522
-0.081,0.841,1.482,50.598,140.198,-33.447
0.022,0.800,1.265,70.557,142.151,-27.649
0.114,0.778,1.116,108.459,124.695,-9.949
0.158,0.700,1.096,156.555,96.741,13.306
0.134,0.576,1.033,175.659,83.252,20.264
0.153,0.509,0.971,165.405,76.355,27.466
0.073,0.434,0.938,138.123,71.655,33.142
0.117,0.364,0.799,120.544,74.219,38.696
0.102,0.345,0.718,109.131,65.735,51.208
0.105,0.323,0.734,86.670,46.631,60.364
0.156,0.323,0.755,50.232,36.743,59.448
0.183,0.353,0.732,16.724,34.485,49.561
0.208,0.325,0.663,4.639,35.278,33.813
0.222,0.274,0.630,18.921,37.537,24.231
0.214,0.210,0.585,36.377,40.405,21.851
0.203,0.149,0.525,39.734,44.434,22.156
0.178,0.093,0.417,37.231,51.086,24.353
0.156,0.038,0.294,37.598,51.208,23.010
0.153,-0.004,0.223,48.279,31.921,17.700
0.159,-0.017,0.136,63.293,16.235,19.592
0.173,-0.004,0.057,75.806,9.338,26.062
0.198,0.014,-0.020,67.993,2.747,28.625
0.208,0.033,-0.041,46.387,-7.568,25.879
0.202,0.042,-0.026,33.630,-17.090,21.240
0.223,0.046,0.008,36.499,-25.269,18.433
0.235,0.041,0.083,42.725,-33.997,17.761
0.240,0.035,0.159,37.476,-41.016,14.893
0.230,0.035,0.225,27.893,-46.265,9.216
0.201,0.036,0.290,23.193,-50.354,1.709
0.167,0.032,0.367,24.658,-54.565,-5.371
0.136,0.039,0.456,29.602,-57.739,-10.559
0.110,0.030,0.566,36.499,-60.547,-14.771
0.055,0.010,0.709,42.236,-61.523,-18.311
