aX,aY,aZ,gX,gY,gZ
0.039,0.007,0.852,19.165,-23.254,-6.592
0.022,-0.018,0.869,21.851,-25.024,-8.606
0.002,-0.050,0.880,19.714,-26.428,-9.644
-0.008,-0.057,0.885,10.986,-26.794,-8.850
-0.013,-0.045,0.894,5.249,-27.893,-6.653
-0.019,-0.036,0.905,5.493,-30.029,-4.822
-0.024,-0.034,0.930,7.812,-32.471,-3.784
-0.026,-0.030,0.964,8.667,-34.485,-3.296
-0.027,-0.019,0.993,9.949,-35.400,-3.113
-0.028,-0.005,1.023,13.245,-34.729,-3.174
-0.031,0.011,1.050,13.794,-32.837,-2.930
-0.035,0.024,1.055,10.925,-29.602,-3.662
-0.041,0.032,1.056,6.104,-26.184,-4.822
-0.047,0.024,1.051,0.183,-23.437,-6.348
-0.054,0.018,1.048,-3.723,-21.362,-7.629
-0.056,0.005,1.038,-4.822,-19.226,-7.996
-0.055,0.009,1.032,-3.540,-17.822,-7.446
-0.059,0.016,1.019,-2.563,-16.846,-7.080
-0.075,0.022,1.004,-2.747,-15.869,-7.385
-0.084,0.047,0.998,-2.747,-15.686,-7.751
-0.073,0.061,1.015,0.183,-17.517,-7.751
-0.069,0.050,1.048,5.005,-19.897,-8.240
-0.071,0.012,1.092,10.010,-21.545,-8.545
-0.062,0.004,1.135,10.803,-20.447,-8.362
-0.051,0.016,1.151,3.418,-17.212,-8.911
-0.055,0.034,1.156,-3.296,-13.550,-10.620
-0.071,0.055,1.151,-4.517,-10.681,-12.695
-0.094,0.075,1.150,-1.587,-8.667,-15.686
-0.113,0.077,1.199,6.226,-9.399,-19.348
-0.138,0.029,1.290,13.000,-10.254,-23.499
-0.142,0.038,1.403,11.108,-9.644,-28.687
-0.071,0.175,1.595,11.230,-9.644,-34.363
-0.043,0.234,1.833,31.433,-10.132,-42.542
-0.078,0.279,2.051,51.025,-2.625,-54.321
-0.199,0.206,2.165,62.744,14.160,-70.740
-0.447,0.034,2.157,58.350,39.978,-88.928
-0.651,-0.317,2.084,47.180,62.744,-97.717
-0.780,-0.646,2.098,37.659,66.589,-87.708
-0.811,-0.880,2.200,28.809,49.438,-59.875
-0.718,-0.900,2.458,30.151,23.010,-23.499
-0.561,-0.688,2.679,50.415,4.883,9.583
-0.404,-0.343,2.823,97.473,5.249,41.260
-0.271,-0.059,2.844,148.804,25.696,63.843
-0.112,0.240,2.691,184.937,66.345,77.271
-0.002,0.510,2.464,202.332,114.441,83.618
0.058,0.697,2.167,184.143,162.537,78.125
0.064,0.801,1.672,134.460,212.097,59.692
0.016,0.736,0.931,91.675,254.700,35.583
-0.038,0.532,0.066,85.205,278.259,16.357
-0.091,0.274,-0.995,92.285,280.701,4.089
-0.063,0.046,-2.066,99.854,249.023,-2.686
0.100,-0.005,-2.778,96.497,171.509,-3.906
0.227,-0.002,-2.714,110.657,52.490,0.366
0.303,-0.022,-2.114,151.794,-73.669,6.104
0.381,0.063,-1.488,160.400,-155.518,2.747
0.430,0.158,-1.004,115.479,-183.105,-10.925
0.383,0.130,-0.683,41.443,-176.025,-24.414
0.251,0.032,-0.497,-38.391,-151.672,-30.334
0.155,-0.027,-0.377,-107.727,-121.704,-31.677
0.052,-0.109,-0.288,-147.522,-98.450,-30.762
-0.077,-0.199,-0.249,-159.790,-86.731,-28.320
-0.234,-0.265,-0.156,-162.415,-87.097,-26.428
-0.351,-0.300,0.062,-158.997,-95.215,-23.560
-0.399,-0.284,0.319,-145.325,-102.600,-15.808
-0.419,-0.218,0.588,-113.281,-108.337,-3.418
-0.418,-0.149,0.850,-72.815,-111.023,7.080
-0.389,-0.085,1.084,-41.748,-106.689,12.817
-0.326,-0.023,1.290,-28.564,-94.971,15.137
-0.242,0.011,1.417,-33.264,-76.721,15.259
-0.158,0.030,1.448,-49.561,-53.955,13.428
-0.065,0.029,1.400,-65.125,-30.396,10.986
0.023,0.075,1.348,-73.059,-10.864,8.545
0.060,0.060,1.285,-74.280,1.038,3.418
0.064,-0.001,1.233,-73.914,8.423,-2.686
0.142,-0.048,1.186,-76.416,13.428,-6.836
0.070,-0.137,1.152,-77.759,15.015,-10.010
-0.024,-0.116,1.071,-73.425,15.137,-9.155
0.001,-0.087,0.990,-63.049,14.221,-5.188
0.004,-0.042,0.976,-43.579,8.850,-0.854
-0.004,-0.047,1.015,-16.541,-4.700,3.723
0.015,-0.064,1.067,7.080,-15.747,3.113
-0.008,-0.091,1.124,19.470,-20.752,0.854
-0.014,-0.114,1.143,16.785,-20.996,-0.610
-0.009,-0.106,1.166,6.531,-20.630,-0.183
-0.003,-0.094,1.161,1.221,-20.447,2.258
-0.019,-0.132,1.161,1.404,-19.409,5.493
-0.020,-0.145,1.125,-1.221,-16.296,8.911
-0.023,-0.119,1.063,-7.629,-13.672,11.536
-0.015,-0.078,1.021,-12.573,-15.137,12.268
-0.006,-0.029,1.014,-12.634,-19.409,11.536
0.014,0.031,1.032,-7.507,-24.170,10.681
0.014,0.066,1.067,-0.305,-27.527,9.277
0.007,0.077,1.091,3.540,-26.855,6.226
-0.001,0.061,1.116,-2.136,-23.499,1.770
-0.018,0.028,1.126,-15.747,-17.639,-3.235
-0.036,-0.011,1.109,-28.320,-11.536,-7.080
-0.059,-0.030,1.080,-33.447,-6.958,-9.338
-0.075,-0.037,1.057,-30.212,-4.822,-9.949
-0.080,-0.046,1.058,-18.799,-5.493,-8.545
-0.089,-0.078,1.081,-5.188,-8.362,-6.775
-0.096,-0.111,1.109,0.854,-9.827,-5.249
-0.091,-0.113,1.103,-4.211,-7.996,-3.662
-0.090,-0.081,1.084,-11.841,-5.310,-1.282
-0.056,-0.088,1.056,-12.085,-3.418,0.732
-0.070,-0.043,1.049,-7.324,-1.343,4.700
-0.070,-0.031,1.016,-5.493,-0.671,5.005
-0.069,-0.023,1.005,-6.470,-0.916,2.441
-0.071,-0.024,1.012,-3.540,-2.441,1.099
-0.062,-0.022,1.020,0.916,-3.357,-0.183
-0.049,-0.018,1.036,5.554,-3.906,-0.916
-0.039,-0.007,1.048,8.728,-3.479,-1.831
-0.027,-0.006,1.057,7.751,-0.854,-3.601
-0.031,-0.026,1.044,-0.427,4.700,-5.554
-0.040,-0.021,1.009,-14.404,11.780,-7.385
-0.049,-0.028,0.972,-22.400,16.357,-9.399
-0.067,-0.052,0.953,-21.851,16.357,-10.742
-0.087,-0.063,0.948,-18.921,14.038,-10.803
-0.099,-0.074,0.968,-11.719,9.460,-9.644
-0.107,-0.093,0.995,-2.441,5.615,-8.057

0.003,-0.001,0.973,-0.732,-1.099,-1.953
-0.008,0.023,0.919,-4.883,-0.244,-1.892
-0.011,0.031,0.902,-6.836,-1.221,-2.136
-0.012,0.024,0.904,-3.479,-4.089,-2.319
-0.005,0.023,0.925,2.563,-6.958,-1.892
-0.003,0.022,0.946,6.592,-8.911,-1.648
-0.003,0.019,0.968,5.005,-9.583,-1.648
0.001,0.010,0.983,1.160,-9.277,-1.831
0.000,0.008,0.985,-2.502,-8.057,-1.526
-0.000,0.011,0.971,-4.272,-6.714,-0.916
-0.004,0.014,0.964,-4.578,-6.042,-0.671
-0.006,0.013,0.958,-4.883,-5.859,-0.671
-0.009,0.009,0.955,-5.127,-5.920,-0.610
-0.010,0.007,0.966,-2.991,-6.287,-0.488
-0.011,0.002,0.970,-1.099,-6.287,-0.366
-0.010,0.009,0.962,-3.174,-5.798,-0.183
-0.014,0.014,0.944,-6.226,-5.249,-0.122
-0.034,0.024,0.923,-10.681,-5.005,-0.488
-0.062,0.046,0.894,-19.836,-5.310,-1.221
-0.104,0.049,0.887,-25.696,-7.202,-2.197
-0.151,0.050,0.897,-26.917,-10.864,-2.991
-0.162,0.034,0.942,-24.536,-16.235,-3.357
-0.162,-0.023,1.029,-17.883,-23.376,-3.357
-0.137,-0.084,1.130,-11.597,-27.832,-2.502
-0.087,-0.114,1.212,-12.085,-28.748,-0.366
-0.030,-0.139,1.275,-15.625,-27.283,1.465
-0.001,-0.156,1.318,-15.930,-24.719,2.502
0.011,-0.151,1.330,-15.198,-21.484,3.723
-0.000,-0.135,1.302,-13.367,-19.043,5.310
-0.036,-0.104,1.247,-11.292,-18.311,7.080
-0.089,-0.041,1.211,-12.939,-20.874,8.240
-0.152,0.016,1.223,-14.343,-28.564,7.568
-0.226,0.061,1.334,-8.240,-42.480,4.639
-0.270,0.111,1.534,2.258,-60.486,1.343
-0.382,0.113,1.854,21.545,-80.322,-3.113
-0.359,-0.013,2.213,52.673,-90.332,-4.456
-0.437,-0.059,2.583,88.562,-84.900,-1.465
-0.520,-0.245,2.836,93.628,-77.576,-7.690
-0.627,-0.293,3.035,72.327,-50.537,-5.066
-0.616,-0.344,3.125,39.368,-15.808,2.869
-0.618,-0.286,3.177,15.686,4.089,14.160
-0.573,-0.228,3.187,18.494,12.939,27.832
-0.509,-0.025,3.131,51.636,21.790,45.532
-0.421,0.262,2.988,97.229,39.978,67.932
-0.282,0.592,2.709,132.385,69.519,86.304
-0.191,0.925,2.375,155.151,100.098,91.858
-0.115,1.188,1.956,158.630,129.150,82.825
-0.123,1.264,1.379,136.536,162.048,61.523
-0.022,1.189,0.540,82.397,195.557,33.630
0.132,1.229,-0.473,7.202,216.064,0.610
0.278,1.131,-1.657,-60.303,204.956,-40.405
0.398,0.584,-2.520,-95.459,156.067,-81.909
0.531,-0.142,-3.002,-109.802,86.853,-100.525
0.718,-0.520,-3.060,-102.417,14.648,-86.487
0.838,-0.622,-2.841,-71.777,-40.710,-58.838
0.804,-0.646,-2.517,-46.875,-63.904,-43.396
0.679,-0.648,-2.175,-53.406,-58.228,-44.800
0.566,-0.668,-1.970,-74.463,-41.199,-49.500
0.359,-0.626,-1.736,-84.534,-33.203,-51.025
0.141,-0.544,-1.441,-68.909,-33.203,-53.162
-0.075,-0.470,-1.057,-42.358,-43.213,-56.213
-0.312,-0.398,-0.666,-24.109,-53.223,-53.162
-0.503,-0.280,-0.272,-20.569,-54.199,-44.067
-0.605,-0.169,0.133,-30.701,-52.368,-34.058
-0.625,-0.036,0.562,-41.016,-53.894,-23.560
-0.604,0.100,0.988,-35.156,-53.284,-13.062
-0.537,0.148,1.371,-28.015,-46.143,-10.986
-0.508,0.098,1.698,-8.911,-41.382,-12.756
-0.433,0.026,1.947,4.150,-30.640,-8.789
-0.334,-0.025,2.044,-4.578,-10.742,1.038
-0.213,-0.009,2.036,-29.114,10.254,10.986
-0.117,0.059,1.958,-51.941,24.902,17.029
-0.083,0.165,1.797,-64.697,32.043,17.456
-0.068,0.277,1.609,-60.791,33.630,15.930
-0.048,0.353,1.442,-45.105,31.128,17.090
0.007,0.421,1.364,-28.015,25.146,18.799
0.099,0.430,1.364,-17.517,17.822,18.005
0.048,0.387,1.311,-16.541,10.681,12.207
0.079,0.386,1.316,-21.423,8.179,7.629
0.146,0.243,1.379,-20.386,5.676,10.437
0.330,0.135,1.318,-23.071,5.310,15.137
0.134,0.068,1.358,-44.617,6.409,14.587
0.123,0.123,1.188,-61.584,14.954,15.625
0.147,0.272,1.006,-35.889,13.977,31.799
0.186,0.307,0.916,-17.151,8.301,34.729
0.154,0.303,0.909,-25.330,-13.123,26.184
0.122,0.306,0.925,-32.959,-29.968,19.531
0.130,0.297,0.980,-23.193,-37.903,17.578
0.143,0.349,1.028,-0.854,-39.978,18.127
0.132,0.402,1.066,19.775,-40.466,18.066
0.121,0.422,1.116,27.466,-37.292,14.404
0.072,0.404,1.144,23.621,-30.762,5.371
0.021,0.334,1.166,17.395,-23.926,-3.296
-0.051,0.210,1.222,15.198,-20.691,-9.216
-0.087,0.121,1.214,11.597,-16.052,-12.451
-0.103,0.047,1.257,-2.869,-15.015,-12.024
-0.085,0.010,1.212,-27.954,-11.902,-15.930
-0.111,0.019,1.169,-41.016,-9.827,-15.808
-0.068,0.054,1.104,-34.973,-8.423,-9.583
-0.041,0.087,1.072,-20.813,-8.545,-2.441
